NO,Kurs Jual,Kurs Beli,Tanggal
1802,9369,9275,5/28/2008
1803,9379,9285,5/29/2008
1804,9365,9271,5/30/2008
1805,9357,9263,6/2/2008
1806,9360,9266,6/3/2008
1807,9363,9269,6/4/2008
1808,9370,9276,6/5/2008
1809,9375,9281,6/6/2008
1810,9401,9307,6/9/2008
1811,9383,9289,6/10/2008
1812,9372,9278,6/11/2008
1813,9374,9280,6/12/2008
1814,9363,9269,6/13/2008
1815,9373,9279,6/16/2008
1816,9364,9270,6/17/2008
1817,9331,9239,6/18/2008
1818,9336,9244,6/19/2008
1819,9333,9241,6/20/2008
1820,9311,9219,6/23/2008
1821,9318,9226,6/24/2008
1822,9300,9208,6/25/2008
1823,9274,9182,6/26/2008
1824,9259,9167,6/27/2008
1825,9271,9179,6/30/2008
1826,9261,9169,7/1/2008
1827,9276,9184,7/2/2008
1828,9263,9171,7/3/2008
1829,9265,9173,7/4/2008
1830,9255,9163,7/7/2008
1831,9249,9157,7/8/2008
1832,9238,9146,7/9/2008
1833,9218,9126,7/10/2008
1834,9209,9117,7/11/2008
1835,9201,9109,7/14/2008
1836,9165,9073,7/15/2008
1837,9178,9086,7/16/2008
1838,9183,9091,7/17/2008
1839,9195,9103,7/18/2008
1840,9193,9101,7/21/2008
1841,9215,9123,7/22/2008
1842,9181,9089,7/23/2008
1843,9179,9087,7/24/2008
1844,9182,9090,7/25/2008
1845,9159,9067,7/28/2008
1846,9179,9087,7/29/2008
1847,9164,9072,7/31/2008
1848,9126,9036,8/1/2008
1849,9146,9054,8/4/2008
1850,9131,9041,8/5/2008
1851,9108,9018,8/6/2008
1852,9160,9068,8/7/2008
1853,9191,9099,8/8/2008
1854,9259,9167,8/11/2008
1855,9224,9132,8/12/2008
1856,9214,9122,8/13/2008
1857,9230,9138,8/14/2008
1858,9231,9139,8/15/2008
1859,9237,9145,8/19/2008
1860,9223,9131,8/20/2008
1861,9189,9097,8/21/2008
1862,9192,9100,8/22/2008
1863,9203,9111,8/25/2008
1864,9225,9133,8/26/2008
1865,9211,9119,8/27/2008
1866,9203,9111,8/28/2008
1867,9199,9107,8/29/2008
1868,9209,9117,9/1/2008
1869,9238,9146,9/2/2008
1870,9265,9173,9/3/2008
1871,9254,9162,9/4/2008
1872,9376,9282,9/5/2008
1873,9330,9238,9/8/2008
1874,9402,9308,9/9/2008
1875,9372,9278,9/10/2008
1876,9485,9391,9/11/2008
1877,9492,9398,9/12/2008
1878,9500,9406,9/15/2008
1879,9517,9423,9/16/2008
1880,9435,9341,9/17/2008
1881,9461,9367,9/18/2008
1882,9427,9333,9/19/2008
1883,9376,9282,9/22/2008
1884,9386,9292,9/23/2008
1885,9377,9283,9/24/2008
1886,9421,9327,9/25/2008
1887,9425,9331,9/26/2008
1888,9603,9507,10/6/2008
1889,9705,9609,10/7/2008
1890,9641,9545,10/8/2008
1891,9673,9577,10/9/2008
1892,9699,9603,10/10/2008
1893,9914,9816,10/13/2008
1894,9757,9659,10/14/2008
1895,9821,9723,10/15/2008
1896,9870,9772,10/16/2008
1897,9834,9736,10/17/2008
1898,9854,9756,10/20/2008
1899,9853,9755,10/21/2008
1900,9929,9831,10/22/2008
1901,9980,9880,10/23/2008
1902,10013,9913,10/24/2008
1903,10367,10263,10/27/2008
1904,11802,11684,10/28/2008
1905,10955,10845,10/29/2008
1906,10653,10547,10/30/2008
1907,11050,10940,10/31/2008
1908,10854,10746,11/3/2008
1909,11158,11046,11/4/2008
1910,10975,10865,11/5/2008
1911,11153,11043,11/6/2008
1912,11166,11054,11/7/2008
1913,11055,10945,11/10/2008
1914,11219,11107,11/11/2008
1915,11579,11463,11/12/2008
1916,11973,11853,11/13/2008
1917,11842,11724,11/14/2008
1918,11895,11777,11/17/2008
1919,11985,11865,11/18/2008
1920,12017,11897,11/19/2008
1921,12291,12169,11/20/2008
1922,12362,12238,11/21/2008
1923,12462,12338,11/24/2008
1924,12462,12338,11/25/2008
1925,12462,12338,11/26/2008
1926,12275,12153,11/27/2008
1927,12212,12090,11/28/2008
1928,12285,12163,12/1/2008
1929,12362,12238,12/2/2008
1930,12186,12064,12/3/2008
1931,12135,12015,12/4/2008
1932,11960,11840,12/5/2008
1933,11420,11306,12/9/2008
1934,10939,10831,12/10/2008
1935,11105,10995,12/11/2008
1936,11105,10995,12/12/2008
1937,11156,11044,12/15/2008
1938,11130,11020,12/16/2008
1939,11005,10895,12/17/2008
1940,11005,10895,12/18/2008
1941,11055,10945,12/19/2008
1942,11105,10995,12/22/2008
1943,11080,10970,12/23/2008
1944,11206,11094,12/24/2008
1945,11005,10895,12/30/2008
1946,11005,10895,12/31/2008
1947,11005,10895,1/5/2009
1948,11105,10995,1/6/2009
1949,10917,10809,1/7/2009
1950,10995,10885,1/8/2009
1951,11105,10995,1/9/2009
1952,11176,11064,1/12/2009
1953,11277,11165,1/13/2009
1954,11224,11112,1/14/2009
1955,11249,11137,1/15/2009
1956,11225,11113,1/16/2009
1957,11219,11107,1/19/2009
1958,11286,11174,1/20/2009
1959,11291,11179,1/21/2009
1960,11267,11155,1/22/2009
1961,11360,11246,1/23/2009
1962,11331,11219,1/27/2009
1963,11408,11294,1/28/2009
1964,11387,11273,1/29/2009
1965,11412,11298,1/30/2009
1966,11759,11641,2/2/2009
1967,11778,11660,2/3/2009
1968,11743,11627,2/4/2009
1969,11847,11729,2/5/2009
1970,11809,11691,2/6/2009
1971,11759,11641,2/9/2009
1972,11834,11716,2/10/2009
1973,11909,11791,2/11/2009
1974,11925,11807,2/12/2009
1975,11844,11726,2/13/2009
1976,11930,11812,2/16/2009
1977,11960,11840,2/17/2009
1978,11985,11865,2/18/2009
1979,12035,11915,2/19/2009
1980,12048,11928,2/20/2009
1981,12010,11890,2/23/2009
1982,11998,11878,2/24/2009
1983,11995,11875,2/25/2009
1984,12035,11915,2/26/2009
1985,12040,11920,2/27/2009
1986,12083,11963,3/2/2009
1987,12080,11960,3/3/2009
1988,12093,11973,3/4/2009
1989,12085,11965,3/5/2009
1990,12125,12005,3/6/2009
1991,12100,11980,3/10/2009
1992,11899,11781,3/11/2009
1993,12040,11920,3/12/2009
1994,12050,11930,3/13/2009
1995,12040,11920,3/16/2009
1996,12018,11898,3/17/2009
1997,12039,11919,3/18/2009
1998,11960,11840,3/19/2009
1999,11892,11774,3/20/2009
2000,11819,11701,3/23/2009
2001,11492,11378,3/24/2009
2002,11588,11472,3/25/2009
2003,11552,11438,3/27/2009
2004,11588,11472,3/30/2009
2005,11633,11517,3/31/2009
2006,11678,11562,4/1/2009
2007,11619,11503,4/2/2009
2008,11454,11340,4/3/2009
2009,11402,11288,4/6/2009
2010,11437,11323,4/7/2009
2011,11437,11323,4/8/2009
2012,11181,11069,4/13/2009
2013,11036,10926,4/14/2009
2014,10934,10826,4/15/2009
2015,10748,10642,4/16/2009
2016,10754,10646,4/17/2009
2017,10804,10696,4/20/2009
2018,10904,10796,4/21/2009
2019,10892,10784,4/22/2009
2020,10995,10885,4/23/2009
2021,10872,10764,4/24/2009
2022,10884,10776,4/27/2009
2023,10894,10786,4/28/2009
2024,10913,10805,4/29/2009
2025,10767,10659,4/30/2009
2026,10708,10602,5/1/2009
2027,10537,10433,5/4/2009
2028,10467,10363,5/5/2009
2029,10558,10452,5/6/2009
2030,10412,10308,5/7/2009
2031,10467,10363,5/8/2009
2032,10360,10256,5/11/2009
2033,10464,10360,5/12/2009
2034,10376,10272,5/13/2009
2035,10494,10390,5/14/2009
2036,10445,10341,5/15/2009
2037,10532,10428,5/18/2009
2038,10412,10308,5/19/2009
2039,10427,10323,5/20/2009
2040,10316,10214,5/22/2009
2041,10339,10237,5/25/2009
2042,10383,10279,5/26/2009
2043,10372,10268,5/27/2009
2044,10432,10328,5/28/2009
2045,10392,10288,5/29/2009
2046,10314,10212,6/1/2009
2047,10301,10199,6/2/2009
2048,10281,10179,6/3/2009
2049,10214,10112,6/4/2009
2050,10089,9989,6/5/2009
2051,10035,9935,6/8/2009
2052,10126,10026,6/9/2009
2053,10084,9984,6/10/2009
2054,10103,10003,6/11/2009
2055,10156,10054,6/12/2009
2056,10186,10084,6/15/2009
2057,10241,10139,6/16/2009
2058,10301,10199,6/17/2009
2059,10319,10217,6/18/2009
2060,10427,10323,6/19/2009
2061,10427,10323,6/22/2009
2062,10490,10386,6/23/2009
2063,10487,10383,6/24/2009
2064,10343,10241,6/25/2009
2065,10181,10079,6/26/2009
2066,10286,10184,6/29/2009
2067,10276,10174,6/30/2009
2068,10306,10204,7/1/2009
2069,10216,10114,7/2/2009
2070,10306,10204,7/3/2009
2071,10281,10179,7/6/2009
2072,10291,10189,7/7/2009
2073,10251,10149,7/9/2009
2074,10198,10096,7/10/2009
2075,10241,10139,7/13/2009
2076,10271,10169,7/14/2009
2077,10211,10109,7/15/2009
2078,10140,10040,7/16/2009
2079,10231,10129,7/17/2009
2080,10100,10000,7/21/2009
2081,10115,10015,7/22/2009
2082,10113,10013,7/23/2009
2083,10045,9945,7/24/2009
2084,10028,9928,7/27/2009
2085,10020,9920,7/28/2009
2086,10025,9925,7/29/2009
2087,10040,9940,7/30/2009
2088,9970,9870,7/31/2009
2089,9939,9841,8/3/2009
2090,9899,9801,8/4/2009
2091,9937,9839,8/5/2009
2092,9944,9846,8/6/2009
2093,9970,9870,8/7/2009
2094,9970,9870,8/10/2009
2095,9995,9895,8/11/2009
2096,9990,9890,8/12/2009
2097,10000,9900,8/13/2009
2098,9980,9880,8/14/2009
2099,10030,9930,8/18/2009
2100,10050,9950,8/19/2009
2101,10140,10040,8/20/2009
2102,10078,9978,8/21/2009
2103,10026,9926,8/24/2009
2104,10060,9960,8/25/2009
2105,10085,9985,8/26/2009
2106,10196,10094,8/27/2009
2107,10151,10049,8/28/2009
2108,10110,10010,8/31/2009
2109,10171,10069,9/1/2009
2110,10206,10104,9/2/2009
2111,10201,10099,9/3/2009
2112,10189,10087,9/4/2009
2113,10120,10020,9/7/2009
2114,10088,9988,9/8/2009
2115,9975,9875,9/9/2009
2116,9984,9884,9/10/2009
2117,9970,9870,9/11/2009
2118,10008,9908,9/14/2009
2119,9986,9886,9/15/2009
2120,9879,9781,9/16/2009
2121,9628,9532,9/17/2009
2122,9692,9596,9/24/2009
2123,9758,9660,9/25/2009
2124,9769,9671,9/28/2009
2125,9754,9656,9/29/2009
2126,9729,9633,9/30/2009
2127,9673,9577,10/1/2009
2128,9694,9598,10/2/2009
2129,9623,9527,10/5/2009
2130,9510,9416,10/6/2009
2131,9503,9409,10/7/2009
2132,9415,9321,10/8/2009
2133,9468,9374,10/9/2009
2134,9537,9443,10/12/2009
2135,9492,9398,10/13/2009
2136,9427,9333,10/14/2009
2137,9339,9247,10/15/2009
2138,9407,9313,10/16/2009
2139,9524,9430,10/19/2009
2140,9412,9318,10/20/2009
2141,9522,9428,10/21/2009
2142,9527,9433,10/22/2009
2143,9535,9441,10/23/2009
2144,9470,9376,10/26/2009
2145,9613,9517,10/27/2009
2146,9643,9547,10/28/2009
2147,9733,9637,10/29/2009
2148,9593,9497,10/30/2009
2149,9658,9562,11/2/2009
2150,9593,9497,11/3/2009
2151,9653,9557,11/4/2009
2152,9554,9458,11/5/2009
2153,9522,9428,11/6/2009
2154,9467,9373,11/9/2009
2155,9499,9405,11/10/2009
2156,9467,9373,11/11/2009
2157,9450,9356,11/12/2009
2158,9462,9368,11/13/2009
2159,9395,9301,11/16/2009
2160,9452,9358,11/17/2009
2161,9472,9378,11/18/2009
2162,9517,9423,11/19/2009
2163,9629,9533,11/20/2009
2164,9515,9421,11/23/2009
2165,9545,9451,11/24/2009
2166,9507,9413,11/25/2009
2167,9460,9366,11/26/2009
2168,9527,9433,11/30/2009
2169,9532,9438,12/1/2009
2170,9463,9369,12/2/2009
2171,9492,9398,12/3/2009
2172,9483,9389,12/4/2009
2173,9502,9408,12/7/2009
2174,9495,9401,12/8/2009
2175,9517,9423,12/9/2009
2176,9482,9388,12/10/2009
2177,9489,9395,12/11/2009
2178,9507,9413,12/14/2009
2179,9519,9425,12/15/2009
2180,9527,9433,12/16/2009
2181,9532,9438,12/17/2009
2182,9545,9451,12/21/2009
2183,9553,9457,12/22/2009
2184,9553,9457,12/23/2009
2185,9487,9393,12/28/2009
2186,9492,9398,12/29/2009
2187,9480,9386,12/30/2009
2188,9447,9353,12/31/2009
2189,9377,9283,1/4/2010
2190,9355,9261,1/5/2010
2191,9355,9261,1/6/2010
2192,9274,9182,1/7/2010
2193,9286,9194,1/8/2010
2194,9176,9084,1/11/2010
2195,9231,9139,1/12/2010
2196,9226,9134,1/13/2010
2197,9196,9104,1/14/2010
2198,9251,9159,1/15/2010
2199,9276,9184,1/18/2010
2200,9271,9179,1/19/2010
2201,9321,9229,1/20/2010
2202,9366,9272,1/21/2010
2203,9435,9341,1/22/2010
2204,9387,9293,1/25/2010
2205,9362,9268,1/26/2010
2206,9427,9333,1/27/2010
2207,9455,9361,1/28/2010
2208,9412,9318,1/29/2010
2209,9442,9348,2/1/2010
2210,9417,9323,2/2/2010
2211,9392,9298,2/3/2010
2212,9372,9278,2/4/2010
2213,9440,9346,2/5/2010
2214,9460,9366,2/8/2010
2215,9435,9341,2/9/2010
2216,9397,9303,2/10/2010
2217,9407,9313,2/11/2010
2218,9418,9324,2/12/2010
2219,9387,9293,2/15/2010
2220,9384,9290,2/16/2010
2221,9326,9234,2/17/2010
2222,9372,9278,2/18/2010
2223,9405,9311,2/19/2010
2224,9338,9246,2/22/2010
2225,9365,9271,2/23/2010
2226,9368,9274,2/24/2010
2227,9382,9288,2/25/2010
2228,9360,9266,3/1/2010
2229,9321,9229,3/2/2010
2230,9323,9231,3/3/2010
2231,9311,9219,3/4/2010
2232,9311,9219,3/5/2010
2233,9246,9154,3/8/2010
2234,9244,9152,3/9/2010
2235,9234,9142,3/10/2010
2236,9231,9139,3/11/2010
2237,9229,9137,3/12/2010
2238,9221,9129,3/15/2010
2239,9195,9103,3/17/2010
2240,9166,9074,3/18/2010
2241,9171,9079,3/19/2010
2242,9162,9070,3/22/2010
2243,9165,9073,3/23/2010
2244,9166,9074,3/24/2010
2245,9184,9092,3/25/2010
2246,9182,9090,3/26/2010
2247,9135,9045,3/29/2010
2248,9115,9025,3/30/2010
2249,9161,9069,3/31/2010
2250,9120,9030,4/1/2010
2251,9100,9010,4/5/2010
2252,9090,9000,4/6/2010
2253,9082,8992,4/7/2010
2254,9109,9019,4/8/2010
2255,9094,9004,4/9/2010
2256,9048,8958,4/12/2010
2257,9065,8975,4/13/2010
2258,9054,8964,4/14/2010
2259,9049,8959,4/15/2010
2260,9063,8973,4/16/2010
2261,9091,9001,4/19/2010
2262,9073,8983,4/20/2010
2263,9052,8962,4/21/2010
2264,9072,8982,4/22/2010
2265,9061,8971,4/23/2010
2266,9046,8956,4/26/2010
2267,9058,8968,4/27/2010
2268,9068,8978,4/28/2010
2269,9067,8977,4/29/2010
2270,9057,8967,4/30/2010
2271,9075,8985,5/3/2010
2272,9062,8972,5/4/2010
2273,9098,9008,5/5/2010
2274,9251,9159,5/6/2010
2275,9339,9247,5/7/2010
2276,9166,9074,5/10/2010
2277,9118,9028,5/11/2010
2278,9161,9069,5/12/2010
2279,9139,9049,5/14/2010
2280,9191,9099,5/17/2010
2281,9179,9087,5/18/2010
2282,9214,9122,5/19/2010
2283,9251,9159,5/20/2010
2284,9382,9288,5/21/2010
2285,9315,9223,5/24/2010
2286,9382,9288,5/25/2010
2287,9420,9326,5/26/2010
2288,9385,9291,5/27/2010
2289,9226,9134,5/31/2010
2290,9256,9164,6/1/2010
2291,9281,9189,6/2/2010
2292,9236,9144,6/3/2010
2293,9250,9158,6/4/2010
2294,9341,9249,6/7/2010
2295,9311,9219,6/8/2010
2296,9284,9192,6/9/2010
2297,9296,9204,6/10/2010
2298,9246,9154,6/11/2010
2299,9230,9138,6/14/2010
2300,9225,9133,6/15/2010
2301,9206,9114,6/16/2010
2302,9213,9121,6/17/2010
2303,9181,9089,6/18/2010
2304,9060,8970,6/21/2010
2305,9078,8988,6/22/2010
2306,9100,9010,6/23/2010
2307,9088,8998,6/24/2010
2308,9095,9005,6/25/2010
2309,9085,8995,6/28/2010
2310,9078,8988,6/29/2010
2311,9128,9038,6/30/2010
2312,9139,9049,7/1/2010
2313,9093,9003,7/2/2010
2314,9105,9015,7/5/2010
2315,9133,9043,7/6/2010
2316,9119,9029,7/7/2010
2317,9115,9025,7/8/2010
2318,9109,9019,7/9/2010
2319,9095,9005,7/12/2010
2320,9101,9011,7/13/2010
2321,9093,9003,7/14/2010
2322,9092,9002,7/15/2010
2323,9093,9003,7/16/2010
2324,9121,9031,7/19/2010
2325,9103,9013,7/20/2010
2326,9097,9007,7/21/2010
2327,9114,9024,7/22/2010
2328,9100,9010,7/23/2010
2329,9085,8995,7/26/2010
2330,9059,8969,7/27/2010
2331,9068,8978,7/28/2010
2332,9047,8957,7/29/2010
2333,8997,8907,7/30/2010
2334,8983,8893,8/2/2010
2335,8986,8896,8/3/2010
2336,8990,8900,8/4/2010
2337,9001,8911,8/5/2010
2338,8987,8897,8/6/2010
2339,8977,8887,8/9/2010
2340,8998,8908,8/10/2010
2341,9011,8921,8/11/2010
2342,9052,8962,8/12/2010
2343,9035,8945,8/13/2010
2344,9033,8943,8/16/2010
2345,9014,8924,8/18/2010
2346,9012,8922,8/19/2010
2347,9010,8920,8/20/2010
2348,9023,8933,8/23/2010
2349,9019,8929,8/24/2010
2350,9021,8931,8/25/2010
2351,9029,8939,8/26/2010
2352,9035,8945,8/27/2010
2353,9050,8960,8/30/2010
2354,9086,8996,8/31/2010
2355,9079,8989,9/1/2010
2356,9053,8963,9/2/2010
2357,9057,8967,9/3/2010
2358,9034,8944,9/6/2010
2359,9056,8966,9/7/2010
2360,9061,8971,9/8/2010
2361,8999,8909,9/14/2010
2362,9018,8928,9/15/2010
2363,9025,8935,9/16/2010
2364,9030,8940,9/17/2010
2365,9024,8934,9/20/2010
2366,9013,8923,9/21/2010
2367,8996,8906,9/22/2010
2368,8998,8908,9/23/2010
2369,9003,8913,9/24/2010
2370,8996,8906,9/27/2010
2371,8997,8907,9/28/2010
2372,8988,8898,9/29/2010
2373,8969,8879,9/30/2010
2374,8966,8876,10/1/2010
2375,8967,8877,10/4/2010
2376,8992,8902,10/5/2010
2377,8967,8877,10/6/2010
2378,8972,8882,10/7/2010
2379,8967,8877,10/8/2010
2380,8970,8880,10/11/2010
2381,8974,8884,10/12/2010
2382,8972,8882,10/13/2010
2383,8966,8876,10/14/2010
2384,8968,8878,10/15/2010
2385,8974,8884,10/18/2010
2386,8974,8884,10/19/2010
2387,8985,8895,10/20/2010
2388,8977,8887,10/21/2010
2389,8981,8891,10/22/2010
2390,8972,8882,10/25/2010
2391,8958,8868,10/26/2010
2392,8973,8883,10/27/2010
2393,8983,8893,10/28/2010
2394,8973,8883,10/29/2010
2395,8966,8876,11/1/2010
2396,8972,8882,11/2/2010
2397,8967,8877,11/3/2010
2398,8954,8864,11/4/2010
2399,8942,8854,11/5/2010
2400,8958,8868,11/8/2010
2401,8950,8860,11/9/2010
2402,8949,8859,11/10/2010
2403,8932,8844,11/11/2010
2404,8963,8873,11/12/2010
2405,8981,8891,11/15/2010
2406,9003,8913,11/16/2010
2407,9004,8914,11/18/2010
2408,8982,8892,11/19/2010
2409,8968,8878,11/22/2010
2410,8990,8900,11/23/2010
2411,9018,8928,11/24/2010
2412,9003,8913,11/25/2010
2413,9011,8921,11/26/2010
2414,9078,8988,11/29/2010
2415,9058,8968,11/30/2010
2416,9077,8987,12/1/2010
2417,9062,8972,12/2/2010
2418,9059,8969,12/3/2010
2419,9053,8963,12/6/2010
2420,9065,8975,12/8/2010
2421,9056,8966,12/9/2010
2422,9060,8970,12/10/2010
2423,9064,8974,12/13/2010
2424,9056,8966,12/14/2010
2425,9063,8973,12/15/2010
2426,9081,8991,12/16/2010
2427,9079,8989,12/17/2010
2428,9090,9000,12/20/2010
2429,9086,8996,12/21/2010
2430,9095,9005,12/22/2010
2431,9093,9003,12/23/2010
2432,9086,8996,12/27/2010
2433,9077,8987,12/28/2010
2434,9059,8969,12/29/2010
2435,9023,8933,12/30/2010
2436,9036,8946,12/31/2010
2437,9021,8931,1/3/2011
2438,9021,8931,1/4/2011
2439,9032,8942,1/5/2011
2440,9039,8949,1/6/2011
2441,9047,8957,1/7/2011
2442,9071,8981,1/10/2011
2443,9133,9043,1/11/2011
2444,9090,9000,1/12/2011
2445,9083,8993,1/13/2011
2446,9109,9019,1/14/2011
2447,9110,9020,1/17/2011
2448,9110,9020,1/18/2011
2449,9089,8999,1/19/2011
2450,9113,9023,1/20/2011
2451,9120,9030,1/21/2011
2452,9104,9014,1/24/2011
2453,9097,9007,1/25/2011
2454,9083,8993,1/26/2011
2455,9077,8987,1/27/2011
2456,9079,8989,1/28/2011
2457,9102,9012,1/31/2011
2458,9087,8997,2/1/2011
2459,9062,8972,2/2/2011
2460,9075,8985,2/4/2011
2461,9020,8930,2/7/2011
2462,8962,8872,2/8/2011
2463,8962,8872,2/9/2011
2464,8969,8879,2/10/2011
2465,8976,8886,2/11/2011
2466,8966,8876,2/14/2011
2467,8949,8859,2/16/2011
2468,8921,8833,2/17/2011
2469,8902,8814,2/18/2011
2470,8889,8801,2/21/2011
2471,8917,8829,2/22/2011
2472,8901,8813,2/23/2011
2473,8901,8813,2/24/2011
2474,8902,8814,2/25/2011
2475,8867,8779,2/28/2011
2476,8856,8768,3/1/2011
2477,8868,8780,3/2/2011
2478,8853,8765,3/3/2011
2479,8837,8749,3/4/2011
2480,8833,8745,3/7/2011
2481,8833,8745,3/8/2011
2482,8828,8740,3/9/2011
2483,8818,8730,3/10/2011
2484,8828,8740,3/11/2011
2485,8815,8727,3/14/2011
2486,8817,8729,3/15/2011
2487,8824,8736,3/16/2011
2488,8837,8749,3/17/2011
2489,8817,8729,3/18/2011
2490,8795,8707,3/21/2011
2491,8754,8666,3/22/2011
2492,8765,8677,3/23/2011
2493,8766,8678,3/24/2011
2494,8752,8664,3/25/2011
2495,8762,8674,3/28/2011
2496,8756,8668,3/29/2011
2497,8759,8671,3/30/2011
2498,8753,8665,3/31/2011
2499,8742,8656,4/1/2011
2500,8719,8633,4/4/2011
2501,8714,8628,4/5/2011
2502,8694,8608,4/6/2011
2503,8697,8611,4/7/2011
2504,8699,8613,4/8/2011
2505,8684,8598,4/11/2011
2506,8709,8623,4/12/2011
2507,8715,8629,4/13/2011
2508,8704,8618,4/14/2011
2509,8704,8618,4/15/2011
2510,8713,8627,4/18/2011
2511,8729,8643,4/19/2011
2512,8700,8614,4/20/2011
2513,8672,8586,4/21/2011
2514,8671,8585,4/25/2011
2515,8699,8613,4/26/2011
2516,8668,8582,4/27/2011
2517,8636,8550,4/28/2011
2518,8617,8531,4/29/2011
2519,8594,8508,5/2/2011
2520,8597,8511,5/3/2011
2521,8602,8516,5/4/2011
2522,8609,8523,5/5/2011
2523,8620,8534,5/6/2011
2524,8591,8505,5/9/2011
2525,8596,8510,5/10/2011
2526,8589,8503,5/11/2011
2527,8579,8493,5/12/2011
2528,8598,8512,5/13/2011
2529,8596,8510,5/18/2011
2530,8587,8501,5/19/2011
2531,8578,8492,5/20/2011
2532,8604,8518,5/23/2011
2533,8611,8525,5/24/2011
2534,8627,8541,5/25/2011
2535,8619,8533,5/26/2011
2536,8608,8522,5/27/2011
2537,8591,8505,5/30/2011
2538,8580,8494,5/31/2011
2539,8583,8497,6/1/2011
2540,8580,8494,6/3/2011
2541,8549,8463,6/6/2011
2542,8572,8486,6/7/2011
2543,8564,8478,6/8/2011
2544,8566,8480,6/9/2011
2545,8561,8475,6/10/2011
2546,8574,8488,6/13/2011
2547,8581,8495,6/14/2011
2548,8578,8492,6/15/2011
2549,8627,8541,6/16/2011
2550,8638,8552,6/17/2011
2551,8621,8535,6/20/2011
2552,8646,8560,6/21/2011
2553,8643,8557,6/22/2011
2554,8644,8558,6/23/2011
2555,8645,8559,6/24/2011
2556,8662,8576,6/27/2011
2557,8666,8580,6/28/2011
2558,8640,8554,6/30/2011
2559,8606,8520,7/1/2011
2560,8565,8479,7/4/2011
2561,8583,8497,7/5/2011
2562,8575,8489,7/6/2011
2563,8578,8492,7/7/2011
2564,8567,8481,7/8/2011
2565,8565,8479,7/11/2011
2566,8592,8506,7/12/2011
2567,8605,8519,7/13/2011
2568,8581,8495,7/14/2011
2569,8580,8494,7/15/2011
2570,8598,8512,7/18/2011
2571,8601,8515,7/19/2011
2572,8583,8497,7/20/2011
2573,8582,8496,7/21/2011
2574,8570,8484,7/22/2011
2575,8571,8485,7/25/2011
2576,8564,8478,7/26/2011
2577,8531,8447,7/27/2011
2578,8552,8466,7/28/2011
2579,8551,8465,7/29/2011
2580,8523,8439,8/1/2011
2581,8502,8418,8/2/2011
2582,8529,8445,8/3/2011
2583,8525,8441,8/4/2011
2584,8581,8495,8/5/2011
2585,8576,8490,8/8/2011
2586,8598,8512,8/9/2011
2587,8573,8487,8/10/2011
2588,8588,8502,8/11/2011
2589,8584,8498,8/12/2011
2590,8584,8498,8/15/2011
2591,8569,8483,8/16/2011
2592,8576,8490,8/18/2011
2593,8601,8515,8/19/2011
2594,8595,8509,8/22/2011
2595,8587,8501,8/23/2011
2596,8589,8503,8/24/2011
2597,8620,8534,8/25/2011
2598,8621,8535,8/26/2011
2599,8582,8496,9/5/2011
2600,8616,8530,9/6/2011
2601,8617,8531,9/7/2011
2602,8614,8528,9/8/2011
2603,8614,8528,9/9/2011
2604,8646,8560,9/12/2011
2605,8665,8579,9/13/2011
2606,8774,8686,9/14/2011
2607,8803,8715,9/15/2011
2608,8816,8728,9/16/2011
2609,8849,8761,9/19/2011
2610,9025,8935,9/20/2011
2611,8919,8831,9/21/2011
2612,9033,8943,9/22/2011
2613,8779,8691,9/23/2011
2614,9020,8930,9/26/2011
2615,8960,8870,9/27/2011
2616,9020,8930,9/28/2011
2617,8970,8880,9/29/2011
2618,8867,8779,9/30/2011
2619,8970,8880,10/3/2011
2620,9005,8915,10/4/2011
2621,8985,8895,10/5/2011
2622,8970,8880,10/6/2011
2623,9013,8923,10/7/2011
2624,9000,8910,10/10/2011
2625,8985,8895,10/11/2011
2626,8990,8900,10/12/2011
2627,8955,8865,10/13/2011
2628,8937,8849,10/14/2011
2629,8889,8801,10/17/2011
2630,8904,8816,10/18/2011
2631,8899,8811,10/19/2011
2632,8884,8796,10/20/2011
2633,8912,8824,10/21/2011
2634,8927,8839,10/24/2011
2635,8909,8821,10/25/2011
2636,8914,8826,10/26/2011
2637,8934,8846,10/27/2011
2638,8872,8784,10/28/2011
2639,8879,8791,10/31/2011
2640,8937,8849,11/1/2011
2641,9020,8930,11/2/2011
2642,9028,8938,11/3/2011
2643,9007,8917,11/4/2011
2644,8985,8895,11/7/2011
2645,8978,8888,11/8/2011
2646,8939,8851,11/9/2011
2647,9020,8930,11/10/2011
2648,9050,8960,11/11/2011
2649,9000,8910,11/14/2011
2650,9040,8950,11/15/2011
2651,9075,8985,11/16/2011
2652,9085,8995,11/17/2011
2653,9100,9010,11/18/2011
2654,9115,9025,11/21/2011
2655,9080,8990,11/22/2011
2656,9080,8990,11/23/2011
2657,9143,9053,11/24/2011
2658,9050,8960,11/25/2011
2659,9146,9054,11/28/2011
2660,9231,9139,11/29/2011
2661,9216,9124,11/30/2011
2662,9130,9040,12/1/2011
2663,9149,9057,12/2/2011
2664,9110,9020,12/5/2011
2665,9128,9038,12/6/2011
2666,9128,9038,12/7/2011
2667,9130,9040,12/8/2011
2668,9085,8995,12/9/2011
2669,9130,9040,12/12/2011
2670,9135,9045,12/13/2011
2671,9135,9045,12/14/2011
2672,9181,9089,12/15/2011
2673,9080,8990,12/16/2011
2674,9133,9043,12/19/2011
