No;Periode;Data Inflasi (%)
218;September 2006;14.55 %
219;Agustus 2006;14.9 %
220;Juli 2006;15.15 %
221;Juni 2006;15.53 %
222;Mei 2006;15.6 %
223;April 2006;15.4 %
224;Maret 2006;15.74 %
225;Februari 2006;17.92 %
226;Januari 2006;17.03 %
227;Desember 2005;17.11 %
228;November 2005;18.38 %
229;Oktober 2005;17.89 %
230;September 2005;9.06 %
231;Agustus 2005;8.33 %
232;Juli 2005;7.84 %
233;Juni 2005;7.42 %
234;Mei 2005;7.4 %
235;April 2005;8.12 %
236;Maret 2005;8.81 %
237;Februari 2005;7.15 %
238;Januari 2005;7.32 %
239;Desember 2004;6.4 %
240;November 2004;6.18 %
241;Oktober 2004;6.22 %
242;September 2004;6.27 %
243;Agustus 2004;6.67 %
244;Juli 2004;7.2 %
245;Juni 2004;6.83 %
246;Mei 2004;6.47 %
247;April 2004;5.92 %
248;Maret 2004;5.11 %
249;Februari 2004;4.6 %
250;Januari 2004;4.82 %
251;Desember 2003;5.16 %
252;November 2003;5.53 %
253;Oktober 2003;6.48 %
254;September 2003;6.33 %
255;Agustus 2003;6.51 %
256;Juli 2003;6.27 %
257;Juni 2003;6.98 %
258;Mei 2003;7.15 %
259;April 2003;7.62 %
260;Maret 2003;7.17 %
261;Februari 2003;7.6 %
262;Januari 2003;8.68 %
263;Desember 2002;0 %
