Tahun;Target;Inf_Aktual;selisih
2001;5;12,5;-7,5
2002;9,5;10,03;-0,53
2003;9;5,06;3,94
2004;5;6,4;-1,4
2005;6,5;17,11;-10,61
2006;8,5;6,6;1,9
2007;6,5;6,59;-0,09
2008;5,5;11,06;-5,56
2009;5;2,78;2,22
2010;5,5;6,96;-1,46
2011;5,5;3,79;1,71
2012;5;4,3;0,7
2013;5;8,38;-3,38
2014;5;8,36;-3,36
2015;4,5;3,35;1,15
2016;4,5;3,02;1,48
2017;4,5;3,61;0,89
2018;4;3,13;0,87
2019;4;2,72;1,28
2020;4;1,68;2,32
2021;4;1,87;2,13
2022;4;5,51;-1,51
2023;4;2,61;1,39
2024;3;2,62;0,38
